,PostalCode,Borough,Neighbourhood
0,M1B,Scarborough,"Malvern,Rouge"
1,M1C,Scarborough,"Rouge Hill,Port Union,Highland Creek"
2,M1E,Scarborough,"Guildwood,Morningside,West Hill"
3,M1G,Scarborough,Woburn
4,M1H,Scarborough,Cedarbrae
5,M1J,Scarborough,Scarborough Village
6,M1K,Scarborough,"Kennedy Park,Ionview,Birchmount Park"
7,M1L,Scarborough,"Golden Mile,Clairlea,Oakridge"
8,M1M,Scarborough,"Cliffside,Cliffcrest,Scarborough Village"
9,M1N,Scarborough,"Birch Cliff,Cliffside"
10,M1P,Scarborough,"Dorset Park,Wexford Heights,Scarborough Town Centre"
11,M1R,Scarborough,"Wexford,Maryvale"
12,M1S,Scarborough,Agincourt
13,M1T,Scarborough,"Tam O'Shanter,Sullivan"
14,M1V,Scarborough,"Milliken,Agincourt North,Steeles,L'Amoreaux"
15,M1W,Scarborough,"Steeles,L'Amoreaux"
16,M1X,Scarborough,Upper Rouge
17,M2H,North York,Hillcrest Village
18,M2J,North York,Henry Farm
19,M2K,North York,Bayview Village
20,M2L,North York,York Mills
21,M2M,North York,Newtonbrook
22,M2N,North York,Willowdale
23,M2P,North York,York Mills
24,M2R,North York,Willowdale
25,M3A,North York,Parkwoods
26,M3B,North York,Don Mills
27,M3C,North York,"Don Mills,Flemingdon Park"
28,M3H,North York,"Bathurst Manor,Wilson Heights,Downsview"
29,M3J,North York,"Northwood Park,York University"
30,M3K,North York,"Downsview,CFB Toronto"
31,M3L,North York,Downsview
32,M3M,North York,Downsview
33,M3N,North York,Downsview
34,M4A,North York,Victoria Village
35,M4B,East York,"Parkview Hill,Woodbine Gardens"
36,M4C,East York,Woodbine Heights
37,M4G,East York,Leaside
38,M4H,East York,Thorncliffe Park
39,M4J,East York,The Danforth
40,M4K,The Danforth,Riverdale
41,M4L,India Bazaar,The Beaches
42,M4T,Moore Park,Summerhill
43,M4V,Summerhill,"Rathnelly,South Hill,Forest Hill,Deer Park"
44,M4W,Downtown Toronto,Rosedale
45,M4X,Downtown Toronto,"St. James Town,Cabbagetown"
46,M4Y,Downtown Toronto,Church and Wellesley
47,M5A,Downtown Toronto,"Regent Park,Harbourfront"
48,M5B,Downtown Toronto,"Garden District,Ryerson"
49,M5C,Downtown Toronto,St. James Town
50,M5G,Downtown Toronto,Bay Street
51,M5H,Downtown Toronto,"Richmond,King"
52,M5J,Downtown Toronto,"Harbourfront,Union Station,Toronto Islands"
53,M5K,Downtown Toronto,"Toronto Dominion Centre,Design Exchange"
54,M5L,Downtown Toronto,"Commerce Court,Victoria Hotel"
55,M5M,North York,"Bedford Park,Lawrence Manor"
56,M5R,The Annex,"North Midtown,Yorkville"
57,M5S,Downtown Toronto,University of Toronto
58,M5T,Downtown Toronto,"Kensington Market,Chinatown,Grange Park"
59,M5V,Downtown Toronto,"CN Tower,King and Spadina,Railway Lands,Harbourfront,South Niagara,Island airport"
60,M5X,Downtown Toronto,"First Canadian Place,Underground city"
61,M6A,North York,"Lawrence Manor,Lawrence Heights"
62,M6C,York,Humewood-Cedarvale
63,M6E,York,Caledonia-Fairbanks
64,M6H,Dufferin,Dovercourt Village
65,M6J,Little Portugal,Trinity
66,M6K,Brockton,"Parkdale Village,Exhibition Place"
67,M6L,North York,Maple Leaf Park
68,M6M,York,"Mount Dennis,Keelsdale and Silverthorn"
69,M6N,York,"Runnymede,The Junction"
70,M6P,High Park,The Junction
71,M6R,Parkdale,Roncesvalles
72,M6S,Runnymede,Swansea
73,M7A,Queen's Park,Ontario Provincial Government
74,M8V,Etobicoke,"New Toronto,Mimico"
75,M8W,Etobicoke,"Alderwood,Long Branch"
76,M8X,Etobicoke,"The Kingsway,Old Mill"
77,M8Y,Etobicoke,"Old Mill,Sunnylea,Humber Bay,Mimico,The Queensway"
78,M8Z,Etobicoke,"Mimico,The Queensway"
79,M9A,Etobicoke,Islington Avenue
80,M9B,Etobicoke,"West Deane Park,Princess Gardens,Martin Grove,Islington"
81,M9C,Etobicoke,Markland Wood
82,M9L,North York,Humber Summit
83,M9M,North York,"Humberlea,Emery"
84,M9N,York,Weston
85,M9R,Etobicoke,Kingsview Village
86,M9V,Etobicoke,"South Steeles,Silverstone,Jamestown,Mount Olive,Beaumond Heights,Thistletown"
87,M9W,Etobicoke,"Clairville,Humberwood,Woodbine Downs,Rexdale,Elms"
